
Overlap Results

Collection(s):	GO
# overlaps shown:	100
# genesets in collections:	10747
# genes in comparison (n):	322
# genes in universe (N):	46395

Gene Set Name	# Genes in Gene Set (K)	Description	# Genes in Overlap (k)	k/K	p-value	FDR q-value
212108	Rln3	relaxin 3 [Source:MGI Symbol;Acc:MGI:2158015]												GOMF_SIGNALING_RECEPTOR_BINDING															GOMF_SIGNALING_RECEPTOR_REGULATOR_ACTIVITY														GOMF_G_PROTEIN_COUPLED_RECEPTOR_BINDING																														GOMF_MOLECULAR_FUNCTION_ACTIVATOR_ACTIVITY						GOMF_HORMONE_ACTIVITY																							
20491	Sla	src-like adaptor [Source:MGI Symbol;Acc:MGI:104295]												GOMF_SIGNALING_RECEPTOR_BINDING																										GOBP_INTRACELLULAR_SIGNALING_CASSETTE																																																														
73191	Fezf1	Fez family zinc finger 1 [Source:MGI Symbol;Acc:MGI:1920441]													GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION		GOBP_GENERATION_OF_NEURONS					GOBP_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS				GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT				GOBP_CELL_MIGRATION						GOBP_CELL_MOTILITY	GOBP_REGULATION_OF_CELL_DIFFERENTIATION							GOBP_HEAD_DEVELOPMENT		GOBP_POSITIVE_REGULATION_OF_CELL_DIFFERENTIATION	GOBP_REGULATION_OF_MULTICELLULAR_ORGANISMAL_DEVELOPMENT																									GOBP_NEURON_DEVELOPMENT																												GOMF_CIS_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING		
17005	Ltk	leukocyte tyrosine kinase [Source:MGI Symbol;Acc:MGI:96840]													GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION		GOBP_GENERATION_OF_NEURONS																GOBP_POSITIVE_REGULATION_OF_SIGNAL_TRANSDUCTION				GOBP_REGULATION_OF_CELL_DIFFERENTIATION			GOBP_INTRACELLULAR_SIGNALING_CASSETTE																										GOBP_POSITIVE_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION						GOBP_NEURON_DEVELOPMENT	GOMF_MOLECULAR_FUNCTION_ACTIVATOR_ACTIVITY																						GOBP_ENZYME_LINKED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY							
16477	Junb	jun B proto-oncogene [Source:MGI Symbol;Acc:MGI:96647]													GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION							GOBP_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS					GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT				GOBP_RESPONSE_TO_ENDOGENOUS_STIMULUS						GOBP_REGULATION_OF_CELL_DIFFERENTIATION									GOBP_POSITIVE_REGULATION_OF_CELL_DIFFERENTIATION														GOBP_TUBE_DEVELOPMENT																								GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS																GOMF_CIS_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING		
226896	Tfap2d	transcription factor AP-2, delta [Source:MGI Symbol;Acc:MGI:2153466]													GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION											GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT																		GOBP_HEAD_DEVELOPMENT																																																										
72080	Sapcd2	suppressor APC domain containing 2 [Source:MGI Symbol;Acc:MGI:1919330]													GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION																								GOCC_PLASMA_MEMBRANE_REGION																	GOBP_ANIMAL_ORGAN_MORPHOGENESIS																					GOBP_POSITIVE_REGULATION_OF_CELL_POPULATION_PROLIFERATION																									
76281	Tax1bp3	Tax1 (human T cell leukemia virus type I) binding protein 3 [Source:MGI Symbol;Acc:MGI:1923531]													GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION																									GOBP_INTRACELLULAR_SIGNALING_CASSETTE																	GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_STIMULUS																																	GOBP_NEGATIVE_REGULATION_OF_CELL_COMMUNICATION												
233406	Prc1	protein regulator of cytokinesis 1 [Source:MGI Symbol;Acc:MGI:1858961]													GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION																																																														GOBP_POSITIVE_REGULATION_OF_CELL_POPULATION_PROLIFERATION																									
240690	St18	suppression of tumorigenicity 18 [Source:MGI Symbol;Acc:MGI:2446700]													GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION																																																																																					GOMF_CIS_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING		
109594	Lmo1	LIM domain only 1 [Source:MGI Symbol;Acc:MGI:102812]													GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION																																																																																							
12797	Cnn1	calponin 1 [Source:MGI Symbol;Acc:MGI:104979]													GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION																																																																																							
27140	Tlx3	T cell leukemia, homeobox 3 [Source:MGI Symbol;Acc:MGI:1351209]															GOBP_GENERATION_OF_NEURONS			GOBP_REGULATION_OF_SYSTEM_PROCESS						GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT				GOBP_CELL_MIGRATION						GOBP_CELL_MOTILITY	GOBP_REGULATION_OF_CELL_DIFFERENTIATION													GOBP_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS																																																				
13390	Dlx1	distal-less homeobox 1 [Source:MGI Symbol;Acc:MGI:94901]															GOBP_GENERATION_OF_NEURONS					GOBP_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS			GOBP_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS	GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT					GOBP_RESPONSE_TO_ENDOGENOUS_STIMULUS						GOBP_REGULATION_OF_CELL_DIFFERENTIATION							GOBP_HEAD_DEVELOPMENT		GOBP_POSITIVE_REGULATION_OF_CELL_DIFFERENTIATION	GOBP_REGULATION_OF_MULTICELLULAR_ORGANISMAL_DEVELOPMENT			GOBP_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS						GOBP_ANIMAL_ORGAN_MORPHOGENESIS	GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_STIMULUS										GOBP_SKELETAL_SYSTEM_DEVELOPMENT																							GOBP_NEGATIVE_REGULATION_OF_CELL_COMMUNICATION					GOBP_ENZYME_LINKED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY					GOMF_CIS_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING		
13392	Dlx2	distal-less homeobox 2 [Source:MGI Symbol;Acc:MGI:94902]															GOBP_GENERATION_OF_NEURONS					GOBP_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS			GOBP_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS	GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT											GOBP_REGULATION_OF_CELL_DIFFERENTIATION							GOBP_HEAD_DEVELOPMENT		GOBP_POSITIVE_REGULATION_OF_CELL_DIFFERENTIATION	GOBP_REGULATION_OF_MULTICELLULAR_ORGANISMAL_DEVELOPMENT			GOBP_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS						GOBP_ANIMAL_ORGAN_MORPHOGENESIS	GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_STIMULUS										GOBP_SKELETAL_SYSTEM_DEVELOPMENT																							GOBP_NEGATIVE_REGULATION_OF_CELL_COMMUNICATION										GOMF_CIS_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING		
21413	Tcf4	transcription factor 4 [Source:MGI Symbol;Acc:MGI:98506]															GOBP_GENERATION_OF_NEURONS					GOBP_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS			GOBP_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS		GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT				GOBP_RESPONSE_TO_ENDOGENOUS_STIMULUS						GOBP_REGULATION_OF_CELL_DIFFERENTIATION									GOBP_POSITIVE_REGULATION_OF_CELL_DIFFERENTIATION	GOBP_REGULATION_OF_MULTICELLULAR_ORGANISMAL_DEVELOPMENT			GOBP_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS										GOBP_TUBE_DEVELOPMENT																								GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS											GOBP_ENZYME_LINKED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY					GOMF_CIS_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING		
20669	Sox14	SRY (sex determining region Y)-box 14 [Source:MGI Symbol;Acc:MGI:98362]															GOBP_GENERATION_OF_NEURONS									GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT				GOBP_CELL_MIGRATION						GOBP_CELL_MOTILITY								GOBP_HEAD_DEVELOPMENT																			GOBP_LOCOMOTION																	GOBP_REGULATION_OF_LOCOMOTION																GOBP_RHYTHMIC_PROCESS				GOMF_CIS_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING		
74237	Tubgcp2	tubulin, gamma complex component 2 [Source:MGI Symbol;Acc:MGI:1921487]															GOBP_GENERATION_OF_NEURONS									GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT				GOBP_CELL_MIGRATION						GOBP_CELL_MOTILITY								GOBP_HEAD_DEVELOPMENT																																																										
75404	Arhgap36	Rho GTPase activating protein 36 [Source:MGI Symbol;Acc:MGI:1922654]															GOBP_GENERATION_OF_NEURONS									GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT							GOBP_POSITIVE_REGULATION_OF_SIGNAL_TRANSDUCTION																																	GOBP_POSITIVE_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION							GOMF_MOLECULAR_FUNCTION_ACTIVATOR_ACTIVITY																													
225998	Rorb	RAR-related orphan receptor beta [Source:MGI Symbol;Acc:MGI:1343464]															GOBP_GENERATION_OF_NEURONS									GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT											GOBP_REGULATION_OF_CELL_DIFFERENTIATION													GOBP_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS						GOBP_ANIMAL_ORGAN_MORPHOGENESIS																GOBP_NEURON_DEVELOPMENT																								GOBP_RHYTHMIC_PROCESS				GOMF_CIS_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING		
11922	Neurod6	neurogenic differentiation 6 [Source:MGI Symbol;Acc:MGI:106593]															GOBP_GENERATION_OF_NEURONS									GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT																		GOBP_HEAD_DEVELOPMENT																												GOBP_NEURON_DEVELOPMENT																												GOMF_CIS_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING		
50916	Irx4	Iroquois homeobox 4 [Source:MGI Symbol;Acc:MGI:1355275]															GOBP_GENERATION_OF_NEURONS										GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT																													GOBP_ANIMAL_ORGAN_MORPHOGENESIS																																	GOBP_HEART_DEVELOPMENT											GOMF_CIS_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING		
212712	Satb2	special AT-rich sequence binding protein 2 [Source:MGI Symbol;Acc:MGI:2679336]															GOBP_GENERATION_OF_NEURONS													GOBP_CELL_MIGRATION						GOBP_CELL_MOTILITY																				GOBP_ANIMAL_ORGAN_MORPHOGENESIS											GOBP_SKELETAL_SYSTEM_DEVELOPMENT																																	GOMF_CIS_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING		
241134	Nyap2	neuronal tyrosine-phophorylated phosphoinositide 3-kinase adaptor 2 [Source:MGI Symbol;Acc:MGI:2443135]															GOBP_GENERATION_OF_NEURONS																							GOBP_INTRACELLULAR_SIGNALING_CASSETTE																																GOBP_NEURON_DEVELOPMENT																														
22239	Ugt8a	UDP galactosyltransferase 8A [Source:MGI Symbol;Acc:MGI:109522]															GOBP_GENERATION_OF_NEURONS																																																							GOBP_NEURON_DEVELOPMENT												GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS																		
18164	Nptx1	neuronal pentraxin 1 [Source:MGI Symbol;Acc:MGI:107811]															GOBP_GENERATION_OF_NEURONS																																																							GOBP_NEURON_DEVELOPMENT																														
243616	Slc6a11	solute carrier family 6 (neurotransmitter transporter, GABA), member 11 [Source:MGI Symbol;Acc:MGI:95630]																GOCC_PRESYNAPSE			GOBP_MONOATOMIC_ION_TRANSPORT											GOBP_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT		GOCC_SYNAPTIC_MEMBRANE					GOCC_PLASMA_MEMBRANE_REGION		GOBP_TRANSMEMBRANE_TRANSPORT							GOBP_MONOATOMIC_CATION_TRANSPORT					GOCC_POSTSYNAPTIC_MEMBRANE		GOBP_METAL_ION_TRANSPORT						GOBP_MONOATOMIC_CATION_TRANSMEMBRANE_TRANSPORT														GOMF_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GOBP_AMINO_ACID_TRANSPORT						GOCC_POSTSYNAPSE											GOCC_PRESYNAPTIC_MEMBRANE				GOCC_GABA_ERGIC_SYNAPSE					
72160	Tmem163	transmembrane protein 163 [Source:MGI Symbol;Acc:MGI:1919410]																GOCC_PRESYNAPSE			GOBP_MONOATOMIC_ION_TRANSPORT											GOBP_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT									GOBP_TRANSMEMBRANE_TRANSPORT	GOBP_EXPORT_FROM_CELL						GOBP_MONOATOMIC_CATION_TRANSPORT							GOBP_METAL_ION_TRANSPORT						GOBP_MONOATOMIC_CATION_TRANSMEMBRANE_TRANSPORT																				GOCC_SECRETORY_VESICLE																					
170930	Sumo2	small ubiquitin-like modifier 2 [Source:MGI Symbol;Acc:MGI:2158813]																GOCC_PRESYNAPSE																																																																GOCC_POSTSYNAPSE															GOCC_GABA_ERGIC_SYNAPSE					
20088	Rps24	ribosomal protein S24 [Source:MGI Symbol;Acc:MGI:98147]																GOCC_PRESYNAPSE																																																																GOCC_POSTSYNAPSE																				
245526	Pgr15l	G protein-coupled receptor 15-like [Source:MGI Symbol;Acc:MGI:2676330]																	GOBP_NEUROPEPTIDE_SIGNALING_PATHWAY																																	GOMF_PEPTIDE_RECEPTOR_ACTIVITY																																																		
13599	Ecel1	endothelin converting enzyme-like 1 [Source:MGI Symbol;Acc:MGI:1343461]																	GOBP_NEUROPEPTIDE_SIGNALING_PATHWAY																																																																																			
211578	Mrgprd	MAS-related GPR, member D [Source:MGI Symbol;Acc:MGI:3033142]																		GOBP_REGULATION_OF_SYSTEM_PROCESS			GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY		GOBP_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS																				GOBP_CIRCULATORY_SYSTEM_PROCESS							GOMF_PEPTIDE_RECEPTOR_ACTIVITY						GOBP_MUSCLE_SYSTEM_PROCESS						GOBP_ADENYLATE_CYCLASE_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY				GOBP_REGULATION_OF_BLOOD_PRESSURE		GOBP_NEGATIVE_REGULATION_OF_BLOOD_PRESSURE								GOBP_REGULATION_OF_TUBE_SIZE													GOBP_VASCULAR_PROCESS_IN_CIRCULATORY_SYSTEM								GOBP_REGULATION_OF_ANATOMICAL_STRUCTURE_SIZE			
21955	Tnnt1	troponin T1, skeletal, slow [Source:MGI Symbol;Acc:MGI:1333868]																		GOBP_REGULATION_OF_SYSTEM_PROCESS					GOBP_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS																																	GOBP_MUSCLE_SYSTEM_PROCESS																										GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS								GOBP_MUSCLE_CONTRACTION										
211468	Kcnh8	potassium voltage-gated channel, subfamily H (eag-related), member 8 [Source:MGI Symbol;Acc:MGI:2445160]																			GOBP_MONOATOMIC_ION_TRANSPORT							GOBP_REGULATION_OF_MEMBRANE_POTENTIAL				GOBP_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT									GOBP_TRANSMEMBRANE_TRANSPORT							GOBP_MONOATOMIC_CATION_TRANSPORT							GOBP_METAL_ION_TRANSPORT						GOBP_MONOATOMIC_CATION_TRANSMEMBRANE_TRANSPORT														GOMF_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY																							GOCC_MONOATOMIC_ION_CHANNEL_COMPLEX		GOMF_CIS_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING		
72413	Kcnmb2	potassium large conductance calcium-activated channel, subfamily M, beta member 2 [Source:MGI Symbol;Acc:MGI:1919663]																			GOBP_MONOATOMIC_ION_TRANSPORT							GOBP_REGULATION_OF_MEMBRANE_POTENTIAL				GOBP_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT									GOBP_TRANSMEMBRANE_TRANSPORT							GOBP_MONOATOMIC_CATION_TRANSPORT							GOBP_METAL_ION_TRANSPORT						GOBP_MONOATOMIC_CATION_TRANSMEMBRANE_TRANSPORT														GOMF_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY																							GOCC_MONOATOMIC_ION_CHANNEL_COMPLEX				
67473	Slc47a1	solute carrier family 47, member 1 [Source:MGI Symbol;Acc:MGI:1914723]																			GOBP_MONOATOMIC_ION_TRANSPORT											GOBP_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT							GOCC_PLASMA_MEMBRANE_REGION		GOBP_TRANSMEMBRANE_TRANSPORT	GOBP_EXPORT_FROM_CELL						GOBP_MONOATOMIC_CATION_TRANSPORT													GOBP_MONOATOMIC_CATION_TRANSMEMBRANE_TRANSPORT														GOMF_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GOBP_AMINO_ACID_TRANSPORT																										
14412	Slc6a13	solute carrier family 6 (neurotransmitter transporter, GABA), member 13 [Source:MGI Symbol;Acc:MGI:95629]																			GOBP_MONOATOMIC_ION_TRANSPORT											GOBP_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT							GOCC_PLASMA_MEMBRANE_REGION		GOBP_TRANSMEMBRANE_TRANSPORT							GOBP_MONOATOMIC_CATION_TRANSPORT							GOBP_METAL_ION_TRANSPORT						GOBP_MONOATOMIC_CATION_TRANSMEMBRANE_TRANSPORT														GOMF_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GOBP_AMINO_ACID_TRANSPORT																										
381489	Rxfp1	relaxin/insulin-like family peptide receptor 1 [Source:MGI Symbol;Acc:MGI:2682211]																					GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY								GOBP_RESPONSE_TO_ENDOGENOUS_STIMULUS																					GOMF_PEPTIDE_RECEPTOR_ACTIVITY				GOBP_ANIMAL_ORGAN_MORPHOGENESIS				GOBP_TUBE_DEVELOPMENT				GOBP_ADENYLATE_CYCLASE_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY																																						
76747	Dapl1	death associated protein-like 1 [Source:MGI Symbol;Acc:MGI:1923997]																							GOBP_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS																																														GOBP_CELL_ADHESION																															
12411	Cbs	cystathionine beta-synthase [Source:MGI Symbol;Acc:MGI:88285]																								GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT														GOBP_INTRACELLULAR_SIGNALING_CASSETTE				GOBP_HEAD_DEVELOPMENT	GOBP_CIRCULATORY_SYSTEM_PROCESS											GOBP_ANIMAL_ORGAN_MORPHOGENESIS											GOBP_SKELETAL_SYSTEM_DEVELOPMENT											GOBP_REGULATION_OF_TUBE_SIZE									GOBP_RESPONSE_TO_NITROGEN_COMPOUND	GOBP_RESPONSE_TO_ABIOTIC_STIMULUS			GOBP_VASCULAR_PROCESS_IN_CIRCULATORY_SYSTEM								GOBP_REGULATION_OF_ANATOMICAL_STRUCTURE_SIZE			
18710	Pik3r3	phosphoinositide-3-kinase regulatory subunit 3 [Source:MGI Symbol;Acc:MGI:109277]																									GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT			GOBP_CELL_MIGRATION	GOBP_RESPONSE_TO_ENDOGENOUS_STIMULUS					GOBP_CELL_MOTILITY				GOBP_INTRACELLULAR_SIGNALING_CASSETTE																				GOBP_TUBE_DEVELOPMENT																								GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS			GOBP_RESPONSE_TO_NITROGEN_COMPOUND								GOBP_ENZYME_LINKED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY							
54132	Pdlim1	PDZ and LIM domain 1 (elfin) [Source:MGI Symbol;Acc:MGI:1860611]																									GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT			GOBP_CELL_MIGRATION						GOBP_CELL_MOTILITY																																																				GOBP_RESPONSE_TO_ABIOTIC_STIMULUS	GOBP_HEART_DEVELOPMENT													
21393	Tcap	titin-cap [Source:MGI Symbol;Acc:MGI:1330233]																									GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT																		GOBP_CIRCULATORY_SYSTEM_PROCESS											GOBP_ANIMAL_ORGAN_MORPHOGENESIS		GOBP_MUSCLE_SYSTEM_PROCESS		GOBP_TUBE_DEVELOPMENT																								GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS				GOBP_RESPONSE_TO_ABIOTIC_STIMULUS	GOBP_HEART_DEVELOPMENT			GOBP_MUSCLE_CONTRACTION										
17064	Cd93	CD93 antigen [Source:MGI Symbol;Acc:MGI:106664]																									GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT																																	GOBP_TUBE_DEVELOPMENT									GOCC_CELL_SURFACE		GOBP_CELL_ADHESION													GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS																		
71897	Lypd6b	LY6/PLAUR domain containing 6B [Source:MGI Symbol;Acc:MGI:1919147]																											GOMF_SIGNALING_RECEPTOR_REGULATOR_ACTIVITY																																																																									
241201	Cdh7	cadherin 7, type 2 [Source:MGI Symbol;Acc:MGI:2442792]																												GOBP_CELL_MIGRATION						GOBP_CELL_MOTILITY																																			GOBP_CELL_ADHESION																															
245827	Fat2	FAT atypical cadherin 2 [Source:MGI Symbol;Acc:MGI:2685369]																												GOBP_CELL_MIGRATION						GOBP_CELL_MOTILITY																																			GOBP_CELL_ADHESION																															
50766	Crim1	cysteine rich transmembrane BMP regulator 1 [Source:MGI Symbol;Acc:MGI:1354756]																													GOBP_RESPONSE_TO_ENDOGENOUS_STIMULUS						GOBP_REGULATION_OF_CELL_DIFFERENTIATION													GOBP_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS							GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_STIMULUS																																	GOBP_NEGATIVE_REGULATION_OF_CELL_COMMUNICATION					GOBP_ENZYME_LINKED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY							
20183	Rxrg	retinoid X receptor gamma [Source:MGI Symbol;Acc:MGI:98216]																													GOBP_RESPONSE_TO_ENDOGENOUS_STIMULUS																GOBP_REGULATION_OF_MULTICELLULAR_ORGANISMAL_DEVELOPMENT																																																					GOMF_CIS_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING		
547253	Parp14	poly (ADP-ribose) polymerase family, member 14 [Source:MGI Symbol;Acc:MGI:1919489]																															GOBP_POSITIVE_REGULATION_OF_SIGNAL_TRANSDUCTION																								GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_STIMULUS																																	GOBP_NEGATIVE_REGULATION_OF_CELL_COMMUNICATION												
381229	Cfap58	cilia and flagella associated protein 58 [Source:MGI Symbol;Acc:MGI:2685815]																																		GOBP_CELL_MOTILITY																																																																		
70426	Tekt5	tektin 5 [Source:MGI Symbol;Acc:MGI:1917676]																																		GOBP_CELL_MOTILITY																																																																		
75429	Cfap144	cilia and flagella associated protein 144 [Source:MGI Symbol;Acc:MGI:1922679]																																		GOBP_CELL_MOTILITY																																																																		
15405	Hoxa9	homeobox A9 [Source:MGI Symbol;Acc:MGI:96180]																																			GOBP_REGULATION_OF_CELL_DIFFERENTIATION										GOBP_REGULATION_OF_MULTICELLULAR_ORGANISMAL_DEVELOPMENT			GOBP_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS						GOBP_ANIMAL_ORGAN_MORPHOGENESIS											GOBP_SKELETAL_SYSTEM_DEVELOPMENT																																	GOMF_CIS_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING		
230751	Oscp1	organic solute carrier partner 1 [Source:MGI Symbol;Acc:MGI:1916308]																																					GOCC_PLASMA_MEMBRANE_REGION		GOBP_TRANSMEMBRANE_TRANSPORT	GOBP_EXPORT_FROM_CELL																																																												
17528	Mpz	myelin protein zero [Source:MGI Symbol;Acc:MGI:103177]																																					GOCC_PLASMA_MEMBRANE_REGION																																GOBP_CELL_ADHESION																															
67182	Pdzk1ip1	PDZK1 interacting protein 1 [Source:MGI Symbol;Acc:MGI:1914432]																																					GOCC_PLASMA_MEMBRANE_REGION																																																															
77799	Sla2	Src-like-adaptor 2 [Source:MGI Symbol;Acc:MGI:1925049]																																						GOBP_INTRACELLULAR_SIGNALING_CASSETTE																	GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_STIMULUS																																	GOBP_NEGATIVE_REGULATION_OF_CELL_COMMUNICATION												
236920	Stard8	StAR related lipid transfer domain containing 8 [Source:MGI Symbol;Acc:MGI:2448556]																																						GOBP_INTRACELLULAR_SIGNALING_CASSETTE																																	GOMF_MOLECULAR_FUNCTION_ACTIVATOR_ACTIVITY																													
77583	Notum	notum palmitoleoyl-protein carboxylesterase [Source:MGI Symbol;Acc:MGI:1924833]																																													GOBP_REGULATION_OF_MULTICELLULAR_ORGANISMAL_DEVELOPMENT										GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_STIMULUS										GOBP_SKELETAL_SYSTEM_DEVELOPMENT																							GOBP_NEGATIVE_REGULATION_OF_CELL_COMMUNICATION												
